time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,city
2014-01-01,15.7,4.1,8.9,0.0,11.8,27.4,13.39,2.0,Lahore
2014-01-02,17.5,2.8,9.5,0.0,10.9,21.2,13.72,2.42,Lahore
2014-01-03,17.9,1.7,9.5,0.0,10.7,16.6,13.81,2.11,Lahore
2014-01-04,17.3,3.7,10.8,0.0,6.2,14.0,13.74,1.99,Lahore
2014-01-05,17.3,3.7,10.7,0.0,6.6,14.8,13.47,2.04,Lahore
2014-01-06,18.4,6.2,11.4,0.0,9.5,17.3,13.4,2.2,Lahore
2014-01-07,17.6,6.3,10.8,0.0,9.7,19.8,11.74,2.14,Lahore
2014-01-08,15.6,6.9,10.7,0.1,13.5,25.9,7.51,1.71,Lahore
2014-01-09,16.6,4.8,10.0,0.0,11.6,23.0,13.64,2.13,Lahore
2014-01-10,16.3,5.3,10.0,0.0,10.6,19.4,13.53,2.17,Lahore
2014-01-11,18.0,4.1,10.4,0.0,11.3,24.1,14.02,2.38,Lahore
2014-01-12,17.7,3.2,10.1,0.0,10.5,18.4,12.76,2.19,Lahore
2014-01-13,16.0,8.7,11.8,0.6,7.5,15.8,7.28,1.4,Lahore
2014-01-14,18.6,5.3,11.8,0.0,9.2,18.7,12.26,2.14,Lahore
2014-01-15,19.9,6.1,13.0,0.0,9.4,16.6,13.84,2.19,Lahore
2014-01-16,18.8,6.2,12.3,0.0,8.6,15.1,11.31,1.8,Lahore
2014-01-17,15.6,7.6,11.3,0.3,8.9,20.5,5.97,0.99,Lahore
2014-01-18,16.6,8.8,12.0,1.6,8.4,18.7,7.3,1.26,Lahore
2014-01-19,17.8,6.0,11.5,0.0,11.6,26.6,14.03,2.1,Lahore
2014-01-20,18.8,5.9,12.0,0.0,8.1,15.1,13.75,2.05,Lahore
2014-01-21,18.3,7.7,13.0,0.3,10.9,19.1,9.52,1.55,Lahore
2014-01-22,16.2,9.9,13.7,3.3,9.7,23.4,5.58,0.93,Lahore
2014-01-23,17.7,9.8,13.7,0.4,7.6,20.2,8.6,1.52,Lahore
2014-01-24,19.1,6.9,12.5,0.0,9.0,20.9,14.94,2.33,Lahore
2014-01-25,20.2,7.8,13.2,0.0,10.8,20.5,14.43,2.53,Lahore
2014-01-26,21.3,8.2,14.1,0.0,11.9,24.1,15.27,2.83,Lahore
2014-01-27,21.8,7.1,14.1,0.0,11.1,23.8,15.29,2.81,Lahore
2014-01-28,22.1,8.0,14.5,0.0,11.5,21.6,15.21,2.81,Lahore
2014-01-29,21.7,6.7,14.6,0.0,10.9,13.3,15.3,2.56,Lahore
2014-01-30,20.2,7.5,14.0,0.0,7.2,16.2,15.1,2.38,Lahore
2014-01-31,20.7,7.4,14.3,0.0,7.4,15.8,15.33,2.46,Lahore
2014-02-01,19.4,9.1,13.6,0.0,6.8,16.6,11.74,1.88,Lahore
2014-02-02,18.6,9.1,14.0,0.3,11.5,14.0,12.88,2.05,Lahore
2014-02-03,18.3,10.0,14.1,5.6,12.6,31.7,10.65,1.75,Lahore
2014-02-04,18.0,8.6,13.1,0.0,10.2,22.0,10.48,1.78,Lahore
2014-02-05,18.5,10.1,13.5,3.7,7.0,23.4,12.92,2.07,Lahore
2014-02-06,16.6,8.8,12.4,13.1,22.9,38.9,7.07,1.49,Lahore
2014-02-07,17.6,8.2,13.3,1.8,13.3,28.1,12.79,2.03,Lahore
2014-02-08,16.9,6.6,11.2,0.0,10.1,21.6,14.5,2.33,Lahore
2014-02-09,18.4,5.0,11.3,0.0,12.9,27.0,16.89,2.9,Lahore
2014-02-10,17.0,5.7,11.0,0.0,9.8,17.3,12.06,2.02,Lahore
2014-02-11,18.0,3.5,10.8,0.0,7.6,16.2,16.87,2.63,Lahore
2014-02-12,18.9,5.4,11.8,0.0,13.4,28.4,17.85,3.11,Lahore
2014-02-13,19.1,4.2,11.4,0.0,10.8,15.5,18.17,2.85,Lahore
2014-02-14,16.9,7.6,11.8,0.2,11.2,25.6,13.53,2.18,Lahore
